INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,139,ADMIMETH_1,-0.3777309690071535,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,14,ADMIMETH_1,-2.361892410310918,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,14,ADMIMETH_1,-2.3265235308782484,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,14,ADMIMETH_1,-2.3238662461382855,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,140,ADMIMETH_1,-1.6739143412228175,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,140,ADMIMETH_1,-1.515914471713797,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,140,ADMIMETH_1,-1.442765648536679,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,141,ADMIMETH_1,-10.744805189695525,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,141,ADMIMETH_1,-10.739595686999412,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,141,ADMIMETH_1,-10.734306405424409,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,142,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,142,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,142,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,15,ADMIMETH_1,-2.8166739738301514,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,15,ADMIMETH_1,-2.818852482442013,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,15,ADMIMETH_1,-2.8772948080801335,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,16,ADMIMETH_1,-2.6772985136659377,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,16,ADMIMETH_1,-2.7083081540605685,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,16,ADMIMETH_1,-2.734811737050464,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,17,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,17,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,17,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,18,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,18,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,18,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,19,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,19,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,19,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,2,ADMIMETH_1,-0.39983995885470336,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,2,ADMIMETH_1,-0.3912465752797253,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,2,ADMIMETH_1,-0.386043475612114,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,20,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,20,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,20,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,21,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,21,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,21,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,22,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,22,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,22,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,23,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,23,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,23,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,24,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,24,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,24,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,25,ADMIMETH_1,-2.2207481903446573,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,25,ADMIMETH_1,-2.229239435876993,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,25,ADMIMETH_1,-2.231023282611245,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,26,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,26,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,26,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
