INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHMIPREDICTOR
FUTURE,127,ADMIMETH_1,-0.8697480919815357,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,127,ADMIMETH_1,-0.8613186122112675,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,128,ADMIMETH_1,-1.303811423789442,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,128,ADMIMETH_1,-1.298546572385342,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,128,ADMIMETH_1,-1.2885396569016299,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,128,ADMIMETH_1,-1.278771249504509,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,128,ADMIMETH_1,-1.26510651563608,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,128,ADMIMETH_1,-1.2590105365483193,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,129,ADMIMETH_1,-0.3630333333333334,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,129,ADMIMETH_1,-0.3573666666666667,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,129,ADMIMETH_1,-0.35170000000000007,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,129,ADMIMETH_1,-0.3460333333333334,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,129,ADMIMETH_1,-0.34036666666666676,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,129,ADMIMETH_1,-0.3347000000000001,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,13,ADMIMETH_1,-2.03586934489431,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,13,ADMIMETH_1,-2.044520101999601,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,13,ADMIMETH_1,-2.054295671546795,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,13,ADMIMETH_1,-2.064242295069366,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,13,ADMIMETH_1,-2.0711453075892043,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,13,ADMIMETH_1,-2.079385088422594,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,130,ADMIMETH_1,-0.5539980114162824,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,130,ADMIMETH_1,-0.5379421612867645,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,130,ADMIMETH_1,-0.5209619591368551,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,130,ADMIMETH_1,-0.4988257503665264,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,130,ADMIMETH_1,-0.4799516126693018,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,130,ADMIMETH_1,-0.469285818767649,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,131,ADMIMETH_1,-1.4590975679610125,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,131,ADMIMETH_1,-1.423359500134716,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,131,ADMIMETH_1,-1.4035068627777665,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,131,ADMIMETH_1,-1.3729463212606468,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,131,ADMIMETH_1,-1.3859064636783123,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,131,ADMIMETH_1,-1.3712715021126227,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,132,ADMIMETH_1,0.40650000000000003,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,132,ADMIMETH_1,0.37670000000000003,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,132,ADMIMETH_1,0.34690000000000004,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,132,ADMIMETH_1,0.31710000000000005,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
